日期(月/日/年),资金
9/11/16,1000
9/12/16,2000
9/13/16,2004.1
9/14/16,1997.21
9/15/16,2002.33
9/16/16,1998.16
9/17/16,1991.37
9/18/16,2006.26
9/19/16,2001.7
9/20/16,1996.68
9/21/16,1964.6
9/22/16,1959.81
9/23/16,1948.85
9/24/16,1981.0
9/25/16,1973.98
9/26/16,1964.93
9/27/16,1987.83
9/28/16,1986.88
9/29/16,1980.91
9/30/16,1999.08
10/1/16,2016.89
10/2/16,2010.85
10/3/16,2007.14
10/4/16,1999.82
10/5/16,1991.82
10/6/16,2007.89
10/7/16,2024.72
10/8/16,2016.62
10/9/16,2019.61
10/10/16,2025.81
10/11/16,2016.72
10/12/16,2083.12
10/13/16,2086.24
10/14/16,2079.88
10/15/16,2092.74
10/16/16,2104.16
10/17/16,2096.12
10/18/16,2087.33
10/19/16,2064.24
10/20/16,2059.22
10/21/16,2073.0
10/22/16,2150.29
10/23/16,2142.97
10/24/16,2136.87
10/25/16,2149.73
10/26/16,2137.07
10/27/16,2238.01
10/28/16,2255.92
10/29/16,2250.11
10/30/16,2289.77
10/31/16,2302.89
11/1/16,2286.52
11/2/16,2405.67
11/3/16,2358.5
11/4/16,2358.5
11/5/16,2383.62
11/6/16,2408.0
11/7/16,2401.1
11/8/16,2397.75
11/9/16,2438.2
11/10/16,2440.13
11/11/16,2419.67
11/12/16,2379.97
11/13/16,2375.13
11/14/16,2389.27
11/15/16,2404.32
11/16/16,2407.09
11/17/16,2492.42
11/18/16,2528.13
11/19/16,2533.07
11/20/16,2483.4
11/21/16,2483.4
11/22/16,2483.4
11/23/16,2483.4
11/24/16,2483.4
11/25/16,2483.4
11/26/16,2483.4
11/27/16,2483.4
11/28/16,2483.4
11/29/16,2483.4
11/30/16,2483.4
12/1/16,2483.4
12/2/16,2534.38
12/3/16,2507.8
12/4/16,2503.34
12/5/16,2475.98
12/6/16,2482.51
12/7/16,2490.29
12/8/16,2525.5
12/9/16,2526.48
12/10/16,2523.4
12/11/16,2549.39
12/12/16,2549.39
12/13/16,2552.64
12/14/16,2542.47
12/15/16,2548.57
12/16/16,2545.72
12/17/16,2587.78
12/18/16,2586.8
12/19/16,2587.69
12/20/16,2602.19
12/21/16,2704.3
12/22/16,2739.6
12/23/16,2957.27
12/24/16,2925.44
12/25/16,2928.69
12/26/16,2944.21
12/27/16,3052.62
12/28/16,3052.52
12/29/16,3160.93
12/30/16,3124.08
12/31/16,3143.67
1/1/17,3273.6
1/2/17,3333.48
1/3/17,3325.11
1/4/17,3696.99
1/5/17,3627.693
1/6/17,3625.07
1/7/17,3633.24
1/8/17,3633.24
1/9/17,3633.24
1/10/17,3667.15
1/11/17,3633.39
1/12/17,3715.09
1/13/17,3816.437
1/14/17,3777.73
1/15/17,3785.3
1/16/17,3835.88
1/17/17,4174.62
1/18/17,4187.37
1/19/17,4137.48
1/20/17,4127.42
1/21/17,4136.74
1/22/17,4242.8
1/23/17,4258.83
1/24/17,4249.11
1/25/17,4165.79
1/26/17,4188.88
1/27/17,4184.74
