日期(月/日/年),资金
9/11/16,1000
9/12/16,100
9/13/16,100.21
9/14/16,99.87
9/15/16,100.13
9/16/16,99.92
9/17/16,99.58
9/18/16,100.32
9/19/16,100.09
9/20/16,99.84
9/21/16,98.24
9/22/16,98.0
9/23/16,97.45
9/24/16,99.06
9/25/16,98.71
9/26/16,98.26
9/27/16,99.41
9/28/16,99.36
9/29/16,99.06
9/30/16,99.97
10/1/16,100.86
10/2/16,100.56
10/3/16,100.37
10/4/16,100.0
10/5/16,99.6
10/6/16,100.4
10/7/16,101.24
10/8/16,100.83
10/9/16,100.98
10/10/16,101.29
10/11/16,100.84
10/12/16,104.16
10/13/16,104.32
10/14/16,104.0
10/15/16,104.64
10/16/16,105.21
10/17/16,104.81
10/18/16,104.37
10/19/16,103.22
10/20/16,102.97
10/21/16,103.66
10/22/16,107.52
10/23/16,107.15
10/24/16,106.84
10/25/16,107.48
10/26/16,106.85
10/27/16,111.9
10/28/16,112.8
10/29/16,112.51
10/30/16,114.49
10/31/16,115.15
11/1/16,114.33
11/2/16,120.29
11/3/16,117.93
11/4/16,117.93
11/5/16,119.19
11/6/16,120.41
11/7/16,120.07
11/8/16,119.9
11/9/16,121.92
11/10/16,122.02
11/11/16,121.0
11/12/16,119.01
11/13/16,118.77
11/14/16,119.48
11/15/16,120.23
11/16/16,120.37
11/17/16,124.64
11/18/16,126.43
11/19/16,126.68
11/20/16,124.2
11/21/16,124.2
11/22/16,124.2
11/23/16,124.2
11/24/16,124.2
11/25/16,124.2
11/26/16,124.2
11/27/16,124.2
11/28/16,124.2
11/29/16,124.2
11/30/16,124.2
12/1/16,124.2
12/2/16,126.75
12/3/16,125.42
12/4/16,125.2
12/5/16,123.83
12/6/16,124.16
12/7/16,124.55
12/8/16,126.31
12/9/16,126.36
12/10/16,126.21
12/11/16,127.51
12/12/16,127.51
12/13/16,127.67
12/14/16,127.16
12/15/16,127.47
12/16/16,127.33
12/17/16,129.43
12/18/16,129.38
12/19/16,129.42
12/20/16,130.15
12/21/16,135.26
12/22/16,137.03
12/23/16,147.92
12/24/16,146.33
12/25/16,146.49
12/26/16,147.27
12/27/16,152.69
12/28/16,152.69
12/29/16,158.11
12/30/16,156.27
12/31/16,157.25
1/1/17,163.75
1/2/17,166.75
1/3/17,166.33
1/4/17,184.93
1/5/17,181.3
1/6/17,181.3
1/7/17,181.3
1/8/17,181.3
1/9/17,181.3
1/10/17,181.3
1/11/17,181.3
1/12/17,181.3
1/13/17,188.07
1/14/17,186.16
1/15/17,186.53
1/16/17,189.02
1/17/17,205.71
1/18/17,206.34
1/19/17,203.88
1/20/17,203.38
1/21/17,203.84
1/22/17,209.07
1/23/17,209.86
1/24/17,209.38
1/25/17,205.27
1/26/17,206.41
1/27/17,206.21
1/28/17,207.4
1/29/17,206.41
1/30/17,205.57
1/31/17,217.4
2/1/17,220.78
2/2/17,221.62
2/3/17,228.29
2/4/17,232.34
2/5/17,233.03
2/6/17,230.76
2/7/17,236.64
2/8/17,237.26
2/9/17,232.61
2/10/17,233.42
2/11/17,233.07
2/12/17,233.77
2/13/17,233.6
2/14/17,233.91
2/15/17,236.51
2/16/17,241.86
2/17/17,241.86
2/18/17,246.87
2/19/17,245.97
2/20/17,245.52
2/21/17,262.56
2/22/17,262.43
2/23/17,264.02
2/24/17,274.5
2/25/17,269.12
2/26/17,269.12
2/27/17,273.1
2/28/17,272.37
3/1/17,273.13
3/2/17,288.85
3/3/17,294.75
3/4/17,295.18
3/5/17,291.5
3/6/17,292.48
3/7/17,293.47
3/8/17,287.72
3/9/17,290.63
3/10/17,290.54
3/11/17,287.39
3/12/17,299.17
3/13/17,299.22
3/14/17,303.53
3/15/17,306.46
3/16/17,306.36
3/17/17,300.35
3/18/17,300.35
3/19/17,300.35
3/20/17,319.23
3/21/17,340.39
3/22/17,338.68
3/23/17,332.04
3/24/17,332.04
3/25/17,332.04
3/26/17,335.65
3/27/17,363.87
3/28/17,365.21
3/29/17,365.05
3/30/17,364.11
3/31/17,363.0
4/1/17,381.31
4/2/17,385.6
4/3/17,378.87
4/4/17,400.48
4/5/17,397.49
4/6/17,397.65
4/7/17,417.62
4/8/17,414.36
4/9/17,415.37
4/10/17,423.69
4/11/17,430.31
4/12/17,427.67
4/13/17,419.28
4/14/17,419.28
4/15/17,419.28
4/16/17,419.28
4/17/17,419.28
4/18/17,419.28
4/19/17,425.36
4/20/17,433.66
4/21/17,431.89
4/22/17,440.51
4/23/17,439.35
4/24/17,433.36
4/25/17,446.83
4/26/17,457.2
4/27/17,449.83
4/28/17,464.94
4/29/17,466.23
4/30/17,465.54
5/1/17,494.94
5/2/17,507.13
5/3/17,505.55
5/4/17,526.76
5/5/17,535.51
5/6/17,530.42
5/7/17,536.4
5/8/17,572.98
5/9/17,576.64
5/10/17,615.68
5/11/17,635.97
5/12/17,638.77
5/13/17,626.25
5/14/17,626.25
5/15/17,626.25
5/16/17,626.25
5/17/17,638.14
5/18/17,629.84
5/19/17,692.52
5/20/17,724.79
5/21/17,710.58
5/22/17,725.02
5/23/17,793.35
5/24/17,782.46
5/25/17,827.85
5/26/17,811.62
5/27/17,820.11
5/28/17,804.03
5/29/17,818.08
5/30/17,823.14
5/31/17,821.67
6/1/17,862.4
6/2/17,866.24
6/3/17,907.88
6/4/17,904.43
6/5/17,909.23
6/6/17,1036.4
6/7/17,1016.08
6/8/17,1016.08
6/9/17,1049.79
6/10/17,1056.43
6/11/17,1076.2
6/12/17,1055.1
6/13/17,1069.64
6/14/17,1053.22
6/15/17,1032.57
6/16/17,1032.57
6/17/17,1032.57
6/18/17,1032.57
6/19/17,1056.66
6/20/17,1049.71
6/21/17,1078.39
6/22/17,1101.1
6/23/17,1095.53
6/24/17,1074.05
6/25/17,1074.05
6/26/17,1074.05
6/27/17,1074.05
6/28/17,1081.2
6/29/17,1069.89
6/30/17,1048.91
7/1/17,1048.91
7/2/17,1048.91
7/3/17,1087.79
7/4/17,1104.14
7/5/17,1103.78
7/6/17,1108.48
7/7/17,1086.75
7/8/17,1086.75
7/9/17,1086.75
7/10/17,1086.75
7/11/17,1086.75
7/12/17,1092.3
7/13/17,1078.12
7/14/17,1070.66
7/15/17,1049.67
7/16/17,1049.67
7/17/17,1049.67
7/18/17,1249.43
7/19/17,1224.93
7/20/17,1224.93
7/21/17,1421.98
7/22/17,1488.47
7/23/17,1497.96
7/24/17,1468.59
7/25/17,1468.59
7/26/17,1468.59
7/27/17,1486.58
7/28/17,1561.82
7/29/17,1563.6
7/30/17,1541.79
7/31/17,1609.43
8/1/17,1607.45
8/2/17,1575.93
8/3/17,1602.67
8/4/17,1600.31
8/5/17,1845.87
8/6/17,1865.63
8/7/17,1841.33
8/8/17,1983.11
8/9/17,1944.23
8/10/17,1944.23
8/11/17,2072.86
8/12/17,2198.57
8/13/17,2207.54
8/14/17,2444.06
8/15/17,2406.42
8/16/17,2385.27
8/17/17,2470.16
8/18/17,2421.73
8/19/17,2421.73
8/20/17,2421.73
8/21/17,2421.73
8/22/17,2421.73
8/23/17,2486.62
8/24/17,2585.11
8/25/17,2580.02
8/26/17,2597.14
8/27/17,2593.44
8/28/17,2584.35
8/29/17,2744.53
8/30/17,2736.79
8/31/17,2729.36
9/1/17,2925.44
9/2/17,2868.08
9/3/17,2868.08
9/4/17,2868.08
9/5/17,2905.45
9/6/17,2848.48
9/7/17,2964.35
9/8/17,2906.23
9/9/17,2906.23
9/10/17,2906.23
9/11/17,2906.23
9/12/17,2906.23
9/13/17,2906.23
9/14/17,2906.23
9/15/17,2906.23
9/16/17,3333.97
9/17/17,3318.41
9/18/17,3258.59
9/19/17,3493.23
9/20/17,3523.48
9/21/17,3454.39
9/22/17,3454.39
9/23/17,3515.96
9/24/17,3517.11
9/25/17,3670.67
9/26/17,3640.65
9/27/17,3613.36
9/28/17,3912.21
9/29/17,3904.38
9/30/17,3877.1
10/1/17,4060.01
10/2/17,4084.37
10/3/17,4091.06
10/4/17,4010.84
10/5/17,4037.99
10/6/17,4019.12
10/7/17,4072.74
10/8/17,4283.15
10/9/17,4286.29
10/10/17,4450.66
10/11/17,4485.29
10/12/17,4487.79
10/13/17,5178.0
10/14/17,5341.45
10/15/17,5422.0
10/16/17,5315.69
10/17/17,5315.69
10/18/17,5315.69
10/19/17,5335.33
10/20/17,5569.91
10/21/17,5576.41
10/22/17,5573.38
10/23/17,5473.61
10/24/17,5496.44
10/25/17,5388.67
