日期(月/日/年),资金
9/11/16,1000
9/12/16,500
9/13/16,501.03
9/14/16,499.31
9/15/16,500.59
9/16/16,499.55
9/17/16,497.85
9/18/16,501.57
9/19/16,500.43
9/20/16,499.18
9/21/16,491.16
9/22/16,489.96
9/23/16,487.22
9/24/16,495.26
9/25/16,493.5
9/26/16,491.24
9/27/16,496.96
9/28/16,496.72
9/29/16,495.23
9/30/16,499.77
10/1/16,504.22
10/2/16,502.71
10/3/16,501.78
10/4/16,499.95
10/5/16,497.95
10/6/16,501.97
10/7/16,506.18
10/8/16,504.15
10/9/16,504.9
10/10/16,506.45
10/11/16,504.18
10/12/16,520.78
10/13/16,521.56
10/14/16,519.97
10/15/16,523.18
10/16/16,526.03
10/17/16,524.02
10/18/16,521.82
10/19/16,516.05
10/20/16,514.8
10/21/16,518.24
10/22/16,537.56
10/23/16,535.73
10/24/16,534.2
10/25/16,537.41
10/26/16,534.24
10/27/16,559.47
10/28/16,563.95
10/29/16,562.5
10/30/16,572.41
10/31/16,575.69
11/1/16,571.6
11/2/16,601.39
11/3/16,589.6
11/4/16,589.6
11/5/16,595.88
11/6/16,601.98
11/7/16,600.26
11/8/16,599.42
11/9/16,609.53
11/10/16,610.01
11/11/16,604.89
11/12/16,594.96
11/13/16,593.75
11/14/16,597.28
11/15/16,601.04
11/16/16,601.73
11/17/16,623.06
11/18/16,631.99
11/19/16,633.22
11/20/16,620.8
11/21/16,620.8
11/22/16,620.8
11/23/16,620.8
11/24/16,620.8
11/25/16,620.8
11/26/16,620.8
11/27/16,620.8
11/28/16,620.8
11/29/16,620.8
11/30/16,620.8
12/1/16,620.8
12/2/16,633.55
12/3/16,626.91
12/4/16,625.79
12/5/16,618.95
12/6/16,620.58
12/7/16,622.52
12/8/16,631.32
12/9/16,631.57
12/10/16,630.8
12/11/16,637.3
12/12/16,637.3
12/13/16,638.11
12/14/16,635.57
12/15/16,637.1
12/16/16,636.39
12/17/16,646.91
12/18/16,646.66
12/19/16,646.88
12/20/16,650.51
12/21/16,676.04
12/22/16,684.87
12/23/16,739.28
12/24/16,731.32
12/25/16,732.13
12/26/16,736.01
12/27/16,763.11
12/28/16,763.09
12/29/16,790.19
12/30/16,780.98
12/31/16,785.88
1/1/17,818.36
1/2/17,833.33
1/3/17,831.24
1/4/17,924.21
1/5/17,906.887
1/6/17,906.23
1/7/17,908.27
1/8/17,908.27
1/9/17,908.27
1/10/17,916.75
1/11/17,908.31
1/12/17,928.73
1/13/17,954.066
1/14/17,944.39
1/15/17,946.28
1/16/17,958.92
1/17/17,1043.6
1/18/17,1046.79
1/19/17,1034.32
1/20/17,1031.81
1/21/17,1034.14
1/22/17,1060.65
1/23/17,1064.66
1/24/17,1062.23
1/25/17,1041.4
1/26/17,1047.17
1/27/17,1046.13
1/28/17,1052.15
1/29/17,1047.14
1/30/17,1042.86
1/31/17,1102.9
2/1/17,1120.05
2/2/17,1124.3
2/3/17,1158.15
2/4/17,1178.7
2/5/17,1182.21
2/6/17,1170.71
2/7/17,1200.54
2/8/17,1203.66
2/9/17,1180.06
2/10/17,1184.18
2/11/17,1182.39
2/12/17,1185.96
2/13/17,1185.1
2/14/17,1186.67
2/15/17,1199.86
2/16/17,1226.98
2/17/17,1226.97
2/18/17,1252.38
2/19/17,1247.81
2/20/17,1245.55
2/21/17,1331.98
2/22/17,1331.31
2/23/17,1339.35
2/24/17,1392.52
2/25/17,1365.22
2/26/17,1365.22
2/27/17,1385.44
2/28/17,1381.73
3/1/17,1385.6
3/2/17,1465.32
3/3/17,1495.26
3/4/17,1497.42
3/5/17,1478.73
3/6/17,1483.69
3/7/17,1488.7
3/8/17,1459.51
3/9/17,1474.26
3/10/17,1473.79
3/11/17,1457.8
3/12/17,1517.56
3/13/17,1517.79
3/14/17,1539.66
3/15/17,1554.53
3/16/17,1554.04
3/17/17,1523.57
3/18/17,1523.57
3/19/17,1523.57
3/20/17,1619.33
3/21/17,1726.68
3/22/17,1717.99
3/23/17,1684.3
3/24/17,1684.3
3/25/17,1684.3
3/26/17,1702.63
3/27/17,1845.78
3/28/17,1852.56
3/29/17,1851.73
3/30/17,1846.98
3/31/17,1841.35
4/1/17,1934.22
4/2/17,1956.0
4/3/17,1921.87
4/4/17,2031.51
4/5/17,2016.35
4/6/17,2017.15
4/7/17,2118.45
4/8/17,2101.89
4/9/17,2107.02
4/10/17,2149.22
4/11/17,2182.8
4/12/17,2169.41
4/13/17,2126.87
4/14/17,2126.87
4/15/17,2126.87
4/16/17,2126.87
4/17/17,2126.87
4/18/17,2126.87
4/19/17,2157.73
4/20/17,2199.82
4/21/17,2190.86
4/22/17,2234.59
4/23/17,2228.7
4/24/17,2198.32
4/25/17,2266.66
4/26/17,2319.27
4/27/17,2281.91
4/28/17,2358.58
4/29/17,2365.11
4/30/17,2361.6
5/1/17,2510.72
5/2/17,2572.56
5/3/17,2564.54
5/4/17,2672.15
5/5/17,2716.52
5/6/17,2690.68
5/7/17,2721.01
5/8/17,2906.59
5/9/17,2925.16
5/10/17,3123.21
5/11/17,3226.15
5/12/17,3240.34
5/13/17,3176.8
5/14/17,3176.8
5/15/17,3176.8
